aab | arrabury airport | tanbar | brisbane
yul | montreal-pierre elliott trudeau international airport | dorval | montreal
yum | yuma international airport | yuma | phoenix
yus | yushu batang airport |  | shanghai
yuy | rouyn-noranda airport | rouyn-noranda | montreal
yve | vernon regional airport | vernon | vancouver
yvo | val-d'or airport | val-d'or | montreal
yvp | kuujjuaq airport |  | montreal
yvr | vancouver international airport | richmond | vancouver
yvv | wiarton/keppel airport | owen sound | toronto
ywb | kangiqsujuaq airport |  | montreal
ywg | winnipeg james armstrong richardson international airport | winnipeg | winnipeg
ywh | victoria inner harbour airport | victoria | vancouver
ywk | wabush airport |  | goose bay
ywl | williams lake airport |  | vancouver
yxc | canadian rockies international airport | cranbrook | edmonton
yxd | edmonton city centre (blatchford field) airport | edmonton | edmonton
yxe | saskatoon international airport | saskatoon | regina
yxh | medicine hat regional airport | medicine hat | edmonton
yxj | north peace regional airport |  | dawson creek
yxl | sioux lookout airport | dryden | winnipeg
yxp | pangnirtung airport | pangnirtung | pangnirtung
yxs | prince george airport | prince george | vancouver
yxt | northwest regional airport |  | vancouver
yxu | london international airport | dorchester | toronto
yxx | abbotsford airport | sumas | vancouver
yxy | whitehorse airport |  | whitehorse
yxz | wawa airport | hornepayne | toronto
yyb | jack garland airport | north bay | toronto
yyc | calgary international airport | calgary | edmonton
yyd | smithers airport | smithers | vancouver
yye | northern rockies regional airport | fort nelson | vancouver
yyf | penticton airport | penticton | vancouver
yyg | charlottetown airport | charlottetown | halifax
yyj | victoria international airport | north saanich | vancouver
yyq | churchill airport |  | winnipeg
yyr | goose bay airport | happy valley-goose bay | goose bay
yyt | st. john's international airport | torbay | st johns
yyu | kapuskasing airport |  | toronto
yyy | mont joli airport | mont-joli | montreal
yyz | pearson international airport | etobicoke | toronto
yzf | yellowknife airport | yellowknife | yellowknife
yzp | sandspit airport |  | vancouver
yzr | sarnia airport | sarnia | toronto
yzs | coral harbour airport | rankin inlet | coral harbour
yzt | port hardy airport |  | vancouver
yzv | sept-iles airport | sept-iles | montreal
yzy | zhangye ganzhou airport | dongle | shanghai
yzz | trail regional airport | fruitvale | vancouver
zad | zadar airport | galovac | zagreb
zag | zagreb international airport | micevec | zagreb
zah | zahedan airport | zahedan | tehran
zal | pichoy airport | valdivia | santiago
zam | zamboanga international airport | zamboanga | manila
zat | zhaotong airport | zhaotong | shanghai
zaz | zaragoza airport | utebo | madrid
zbf | bathurst airport | bathurst | moncton
zbr | chah-bahar airport | konarak | tehran
zcl | la calera airport | zacatecas | mexico city
zco | la araucanía international airport | temuco | santiago
zdy | delma island airport |  | dubai
zel | bella bella airport |  | vancouver
zfd | fond-du-lac airport | fond du lac | regina
zgi | gods river airport |  | winnipeg
zha | zhanjiang airport | haitou | shanghai
zhy | zhongwei airport |  | shanghai
zia | zhukovsky international airport | zhukovskiy | moscow
zih | ixtapa/zihuatanejo internacional airport | colonia aeropuerto | mexico city
zis | alzintan airport | az zintan | tripoli
zix | zhigansk airport | zhigansk | yakutsk
zkp | zyryanka airport | zyryanka | srednekolymsk
zlo | manzanillo airport | manzanillo | mexico city
zlx | zalingei airport | zalingei | khartoum
zmh | south cariboo regional airport | williams lake | vancouver
zmt | masset airport | metlakatla | vancouver
zne | newman airport | newman | perth
znz | zanzibar international airport | zanzibar | dar es salaam
zos | canal bajo airport | osorno | santiago
zpb | sachigo lake airport |  | winnipeg
zqn | queenstown airport | queenstown | auckland
zqw | zweibruecken airport |  | berlin
zqz | zhangjiakou ningyuan airport | zhangjiakou | shanghai
zrh | zurich airport | glattbrugg / rohr/platten-balsberg | zurich
zrj | round lake airport | ear falls | winnipeg
zsa | san salvador airport | cockburn town | nassau
zth | zakinthos airport | ambelokipoi | athens
ztm | shamattawa airport | red lake | winnipeg
ztr | zhitomir airport | zhytomyr | kiev
zuh | zhuhai jinwan airport | sanzao | shanghai
zyi | zunyi xinzhou airport | zunyi | shanghai
zyl | civil airport | sylhet | dhaka
zze | zangilan international airport | karabakh | baku
